keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
komunikasi,komunikasi,pengembangan karir umum,Sarjana,ilmu komputer,Tidak Ada Sertifikasi,3.0,Staf Administrasi,ilmu komputer,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi umum karir pengembangan komputer sains,valid,Tidak,32,0,3,2
"ms office, analisis keuangan","ms office, analisis keuangan","bisnis, keuangan",SMA/Sederajat,ilmu komputer,Dasar Kesehatan Mental,3.64,Staf Administrasi,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office analisis keuangan bisnis keuangan komputer sains,valid,Tidak,32,0,2,2
ms office,ms office,pengembangan karir umum,SMA/Sederajat,sains,CFA Level 1,3.0,Staf Administrasi,sains,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office umum karir pengembangan sains,valid,Tidak,32,0,2,11
akuntansi,akuntansi,"bisnis, keuangan",SMA/Sederajat,perdagangan,CFA Level 1,2.88,Operator Entri Data,perdagangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi bisnis keuangan perdagangan,valid,Tidak,23,0,2,8
"pemasaran, konseling, sql","pemasaran, konseling, sql",marketing,Sarjana,bisnis,Penulisan Kreatif,3.48,Operator Entri Data,bisnis,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pemasaran konseling sql bisnis,valid,Tidak,23,0,3,1
akuntansi,akuntansi,"bisnis, keuangan",SMA/Sederajat,keuangan,Google Data Analytics,3.52,Staf Administrasi,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,akuntansi bisnis keuangan,valid,Tidak,32,0,2,4
"akuntansi, pembelajaran mesin, sql","akuntansi, pembelajaran mesin, sql","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,Penulisan Kreatif,3.6,Staf Administrasi,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi pembelajaran mesin sql teknologi data sains komputer sains,valid,Tidak,32,0,2,2
"konseling, komunikasi, pembelajaran mesin","konseling, komunikasi, pembelajaran mesin","teknologi, ilmu data",Doktor,keuangan,Dasar Kesehatan Mental,2.48,Operator Entri Data,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,konseling komunikasi pembelajaran mesin teknologi data sains keuangan,valid,Tidak,23,0,0,4
akuntansi,akuntansi,"bisnis, keuangan",Sarjana,seni,Sertifikasi Pemasaran Digital,3.6,Operator Entri Data,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi bisnis keuangan seni,valid,Tidak,23,0,3,12
"analisis data, komunikasi","analisis data, komunikasi","teknologi, ilmu data",Doktor,teknik,Penulisan Kreatif,3.8,Staf Administrasi,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,analisis data komunikasi teknologi data sains teknik,valid,Tidak,32,0,0,13
"analisis keuangan, pemasaran, pembelajaran mesin","analisis keuangan, pemasaran, pembelajaran mesin","teknologi, ilmu data",Doktor,perdagangan,AWS Certified,3.24,Operator Entri Data,perdagangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis keuangan pemasaran pembelajaran mesin teknologi data sains perdagangan,valid,Tidak,23,0,0,8
"komunikasi, pemasaran","komunikasi, pemasaran",marketing,Sarjana,keuangan,Google Data Analytics,3.24,Staf Administrasi,keuangan,"konten, tugas sosial, penjualan & pengaruh","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,komunikasi pemasaran keuangan,valid,Tidak,32,0,3,4
"python, konseling","python, konseling","teknologi, ilmu data",Doktor,psikologi,Sertifikasi Pemasaran Digital,3.6,Staf Administrasi,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python konseling teknologi data sains psikologi,valid,Tidak,32,0,0,9
"komunikasi, python, akuntansi","komunikasi, python, akuntansi","teknologi, ilmu data",Doktor,seni,Penulisan Kreatif,2.4,Operator Entri Data,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi python akuntansi teknologi data sains seni,valid,Tidak,23,0,0,12
"python, konseling, pemasaran","python, konseling, pemasaran","teknologi, ilmu data",Magister,perdagangan,Tally ERP,3.08,Operator Entri Data,perdagangan,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python konseling pemasaran teknologi data sains perdagangan,valid,Tidak,23,0,1,8
